Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nick Starr","DET",0.0456,0.0522,0,4.4613,1,0,0,0,,1,4.346,1.0136,0.532,0.4957,0.138556,0.3621,0.0251,0.0414,0.7975,7.1775,3.2589,2.20243,1.247,0.183502,0.083318,0.10018407553434372,0.257096,1.3757,0.291056,0.713958,0.395194,,4.5832,-0.00424421,-0.0501615,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nick Starr","sa3008488",681931
"Hansel Robles",,0.0463,0.0515,0,4.60989,1,0,0,0,,1,4.398,0.9704,0.5475,0.51221,0.141556,0.468,0.0268,0.0453,0.9217,8.2953,4.212,1.96944,1.274,0.209573,0.106412,0.10316053032875061,0.249801,1.4384,0.293766,0.718339,0.383998,,4.7032,-0.00425174,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Hansel Robles","11801",570663
"Ty Buttrey",,0.0463,0.0515,0,4.58046,1,0,0,0,,1,4.399,1.0208,0.5482,0.50894,0.131111,0.4357,0.0288,0.0424,0.801,7.209,3.9213,1.83842,1.18,0.182087,0.0990452,0.08304159343242645,0.260348,1.4565,0.297675,0.713543,0.438989,,4.70322,-0.00425199,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ty Buttrey","14719",621142
"Yoelvin Silven",,0.0462,0.0517,0,4.61808,1,0,0,0,,1,4.38,1.0365,0.5512,0.51312,0.138111,0.3954,0.0253,0.0424,0.786,7.074,3.5586,1.98786,1.243,0.179452,0.090274,0.08917807787656784,0.262924,1.4319,0.297668,0.711077,0.423999,,4.70332,-0.00425312,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yoelvin Silven","sa3006619",681185
"Lisandro Santos",,0.0482,0.0497,0,4.45122,1,0,0,0,,1,4.425,0.9651,0.5318,0.49458,0.141111,0.4952,0.0256,0.0427,0.9112,8.2008,4.4568,1.84006,1.27,0.205921,0.11191,0.09401129186153412,0.248283,1.4603,0.29067,0.735303,0.406206,,4.79222,-0.00426009,-0.0490088,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Lisandro Santos","sa945728",670873
"Erich Uelmen",,0.0464,0.0515,0,4.55355,1,0,0,0,,1,4.409,1.026,0.5462,0.50595,0.125,0.4291,0.0258,0.0618,0.7795,7.0155,3.8619,1.81659,1.125,0.176797,0.0973237,0.07947380840778351,0.261862,1.4551,0.298978,0.710023,0.457998,,4.70518,-0.00427418,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Erich Uelmen","20323",657272
"Nash Walters",,0.0464,0.0515,0,4.58451,1,0,0,0,,1,4.384,1.0055,0.5464,0.50939,0.139111,0.419,0.0253,0.0483,0.8352,7.5168,3.771,1.99332,1.252,0.190511,0.0955748,0.09493613988161087,0.256721,1.4245,0.294451,0.714051,0.407997,,4.70642,-0.0042883,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nash Walters","25413",663534
"Ty Tice",,0.0465,0.0513,0,4.54986,1,0,0,0,,1,4.417,0.9731,0.5431,0.50554,0.131778,0.4892,0.0252,0.0472,0.8909,8.0181,4.4028,1.82114,1.186,0.201698,0.110754,0.0909440815448761,0.25076,1.4623,0.294383,0.719355,0.413003,,4.70699,-0.00429473,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ty Tice","20177",676709
"Reyes Moronta",,0.0466,0.0513,0,4.58181,1,0,0,0,,1,4.399,0.9357,0.5425,0.50909,0.145556,0.4914,0.0253,0.0421,0.9761,8.7849,4.4226,1.98637,1.31,0.221891,0.111707,0.11018414050340652,0.242064,1.4271,0.28797,0.723113,0.348996,,4.707,-0.00429485,-0.0476151,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Reyes Moronta","14966",606625
"Chance Kirby",,0.0474,0.0567,0.0185,4.43304,0.7807,0.0467,0,0,,1,4.3,1.0224,0.5281,0.49256,0.147444,0.3003,0.019,0.042,0.7607,6.8463,2.7027,2.53313,1.327,0.176907,0.0698372,0.10706976801156998,0.258332,1.3227,0.286912,0.71183,0.384146,,4.58876,-0.00429778,-0.0501519,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chance Kirby","sa3007200",656619
